n,thresholdModel,thresholdClass,Accuracy,logloss
16,0.85,0.5,0.74468085106383,0.474399169425052
16,0.9,0.5,0.74468085106383,0.474399169425052
16,0.95,0.5,0.74468085106383,0.474399169425052
16,1,0.5,0.74468085106383,0.489664164369178
17,0.05,0.5,0.74468085106383,0.432043165332049
17,0.1,0.5,0.74468085106383,0.430234509134345
17,0.15,0.5,0.74468085106383,0.431703245868945
17,0.2,0.5,0.74468085106383,0.433759027096884
17,0.25,0.5,0.74468085106383,0.433866068723134
17,0.3,0.5,0.74468085106383,0.434688287769207
17,0.35,0.5,0.808510638297872,0.434412042311462
17,0.4,0.5,0.808510638297872,0.434374424015353
17,0.45,0.5,0.808510638297872,0.434374424015353
17,0.5,0.5,0.787234042553192,0.435295147555374
17,0.55,0.5,0.787234042553192,0.435295147555374
17,0.6,0.5,0.765957446808511,0.439372992141621
17,0.65,0.5,0.765957446808511,0.439372992141621
17,0.7,0.5,0.74468085106383,0.453591311857483
17,0.75,0.5,0.74468085106383,0.453591311857483
17,0.8,0.5,0.74468085106383,0.453591311857483
17,0.85,0.5,0.74468085106383,0.453591311857483
17,0.9,0.5,0.74468085106383,0.453591311857483
17,0.95,0.5,0.74468085106383,0.467453728372074
17,1,0.5,0.74468085106383,0.472876163733843
18,0.05,0.5,0.74468085106383,0.433145493308229
18,0.1,0.5,0.74468085106383,0.43404106905656
18,0.15,0.5,0.74468085106383,0.435050894725804
18,0.2,0.5,0.74468085106383,0.436627255695436
18,0.25,0.5,0.74468085106383,0.434913349879445
18,0.3,0.5,0.74468085106383,0.433520155304872
18,0.35,0.5,0.808510638297872,0.430840182694578
18,0.4,0.5,0.808510638297872,0.429278062881601
18,0.45,0.5,0.808510638297872,0.429278062881601
18,0.5,0.5,0.808510638297872,0.429278062881601
18,0.55,0.5,0.787234042553192,0.427534115594198
18,0.6,0.5,0.787234042553192,0.427534115594198
18,0.65,0.5,0.787234042553192,0.427534115594198
18,0.7,0.5,0.787234042553192,0.427534115594198
18,0.75,0.5,0.787234042553192,0.427534115594198
18,0.8,0.5,0.787234042553192,0.438751082862821
18,0.85,0.5,0.787234042553192,0.438751082862821
18,0.9,0.5,0.787234042553192,0.438751082862821
18,0.95,0.5,0.787234042553192,0.453992904436981
18,1,0.5,0.787234042553192,0.453992904436981
19,0.05,0.5,0.765957446808511,0.431202643189611
19,0.1,0.5,0.765957446808511,0.429986243657219
19,0.15,0.5,0.765957446808511,0.433245207070888
19,0.2,0.5,0.74468085106383,0.421273240225862
19,0.25,0.5,0.74468085106383,0.421273240225862
19,0.3,0.5,0.74468085106383,0.421273240225862
19,0.35,0.5,0.787234042553192,0.424970347814426
19,0.4,0.5,0.787234042553192,0.424970347814426
19,0.45,0.5,0.787234042553192,0.424970347814426
19,0.5,0.5,0.765957446808511,0.435997251904492
19,0.55,0.5,0.765957446808511,0.435997251904492
19,0.6,0.5,0.765957446808511,0.434472885624029
19,0.65,0.5,0.765957446808511,0.434472885624029
19,0.7,0.5,0.765957446808511,0.434472885624029
19,0.75,0.5,0.765957446808511,0.434472885624029
19,0.8,0.5,0.765957446808511,0.450513683250613
19,0.85,0.5,0.765957446808511,0.450513683250613
