nodes,nTree,accuracy
32,9,0.721174004192872
33,9,0.738396624472574
34,9,0.745263157894737
35,9,0.745263157894737
36,9,0.743157894736842
37,9,0.755230125523013
38,9,0.73109243697479
39,9,0.737945492662474
40,9,0.733752620545073
41,9,0.723270440251572
42,9,0.752100840336134
43,9,0.735294117647059
44,9,0.756302521008403
45,9,0.732067510548523
46,9,0.732067510548523
47,9,0.729957805907173
48,9,0.735294117647059
49,9,0.723044397463002
50,9,0.738396624472574
51,9,0.738396624472574
52,9,0.725738396624473
53,9,0.73109243697479
54,9,0.718487394957983
55,9,0.735849056603774
56,9,0.74896265560166
57,9,0.752083333333333
58,9,0.74375
59,9,0.744282744282744
60,9,0.744186046511628
61,9,0.744186046511628
62,9,0.744186046511628
63,9,0.75625
64,9,0.75625
65,9,0.733887733887734
66,9,0.733887733887734
67,9,0.738493723849372
68,9,0.766666666666667
69,9,0.749473684210526
70,9,0.707368421052632
71,9,0.707368421052632
72,9,0.711578947368421
73,9,0.711578947368421
74,9,0.736951983298539
75,9,0.722338204592902
76,9,0.722338204592902
77,9,0.711297071129707
78,9,0.711297071129707
79,9,0.728601252609603
80,9,0.728601252609603
81,9,0.747390396659708
82,9,0.728778467908903
83,9,0.728778467908903
84,9,0.728778467908903
85,9,0.728778467908903
86,9,0.728778467908903
87,9,0.737060041407868
88,9,0.738045738045738
89,9,0.736286919831224
90,9,0.736286919831224
91,9,0.74120082815735
92,9,0.744813278008299
93,9,0.744813278008299
94,9,0.744813278008299
95,9,0.744813278008299
96,9,0.736401673640167
97,9,0.736401673640167
98,9,0.732484076433121
99,9,0.732484076433121
100,9,0.732484076433121
1,10,0.688149688149688
2,10,0.681912681912682
3,10,0.7125
4,10,0.717255717255717
5,10,0.698544698544699
6,10,0.738045738045738
7,10,0.691511387163561
8,10,0.717255717255717
9,10,0.713097713097713
10,10,0.716666666666667
11,10,0.716356107660455
12,10,0.706751054852321
13,10,0.716981132075472
14,10,0.731656184486373
15,10,0.705882352941177
16,10,0.722338204592902
17,10,0.732217573221757
18,10,0.732217573221757
19,10,0.742138364779874
20,10,0.727083333333333
21,10,0.745833333333333
22,10,0.739039665970772
23,10,0.733752620545073
24,10,0.738493723849372
25,10,0.741596638655462
26,10,0.740585774058577
27,10,0.713097713097713
28,10,0.729166666666667
29,10,0.739495798319328
30,10,0.728601252609603
31,10,0.730125523012552
32,10,0.722338204592902
33,10,0.751565762004175
34,10,0.74321503131524
35,10,0.74321503131524
36,10,0.736951983298539
37,10,0.742203742203742
38,10,0.7375
39,10,0.7375
40,10,0.725571725571726
41,10,0.733887733887734
42,10,0.75
43,10,0.73125
44,10,0.745833333333333
45,10,0.732776617954071
46,10,0.732776617954071
47,10,0.732776617954071
